word,label
containers,10000
containing,10000
contains,10000
contamination,10000
contemplate,5000
contemporary,3000
contempt,5000
contend,5000
contender,5000
content,10000
contention,5000
contents,10000
contest,3000
contests,10000
context,3000
continent,3000
continental,10000
continually,5000
continue,3000
continued,10000
continues,10000
continuing,10000
continuity,10000
continuous,3000
continuously,10000
contract,3000
contracting,10000
contractor,5000
contractors,10000
contracts,10000
contradiction,5000
contrary,5000
contrast,3000
contribute,3000
contributed,10000
contributing,10000
contribution,3000
contributions,10000
contributor,5000
contributors,10000
control,3000
controlled,10000
controller,10000
controllers,10000
controlling,10000
controls,10000
controversial,5000
controversy,5000
convenience,5000
convenient,3000
convention,5000
conventional,5000
conventions,10000
convergence,10000
conversation,3000
conversations,10000
conversion,5000
convert,3000
converted,10000
converter,10000
convertible,10000
convey,5000
convict,5000
convicted,10000
conviction,5000
convince,3000
convinced,3000
convincing,5000
cook,3000
cookbook,10000
cooked,10000
cookie,3000
cookies,10000
cooking,3000
cool,3000
cooler,10000
cooling,10000
cooper,10000
cooperate,5000
cooperation,10000
cooperative,5000
coordinate,5000
coordinated,10000
coordinates,10000
coordination,5000
coordinator,5000
cop,5000
